69,112,1,
62,110,2,
64,104,3,
66,98,4,
68,97,5,
70,96,6,
72,95,7,
75,94,8,
77,93,9,
79,92,10,
82,88,11,
85,85,12,
88,82,13,
86,85,14,
93,83,15,
101,82,16,
98,87,17,
96,92,18,
114,86,19,
116,90,20,
119,94,21,
134,88,22,
127,73,23,
113,66,24,
111,74,25,
110,82,26,
122,83,27,
123,81,28,
124,80,29,
125,79,30,
129,87,31,
135,85,32,
152,94,33,
172,96,34,
167,101,35,
174,100,36,
179,97,37,
184,94,38,
185,95,39,
186,96,40,
187,97,41,
189,99,42,
191,105,43,
186,105,44,
182,106,45,
190,104,46,
190,108,47,
190,112,48,
191,116,49,
191,109,50,
190,105,51,
188,107,52,
186,109,53,
184,111,54,
182,113,55,
180,115,56,
180,114,57,
180,113,58,
180,112,59,
180,111,60,
180,111,61,
181,111,62,
182,111,63,
183,111,64,
184,111,65,
184,111,66,
185,111,67,
186,111,68,
187,111,69,
188,112,70,
189,113,71,
190,114,72,
192,116,73,
196,112,74,
200,109,75,
199,116,76,
198,116,77,
197,116,78,
196,116,79,
196,116,80,
198,114,81,
200,112,82,
197,113,83,
194,114,84,
193,112,85,
192,110,86,
191,108,87,
190,106,88,
189,104,89,
188,102,90,
186,103,91,
184,104,92,
182,105,93,
181,104,94,
180,104,95,
179,103,96,
178,103,97,
177,102,98,
176,102,99,
176,102,100,
176,101,101,
177,101,102,
177,100,103,
178,100,104,
179,100,105,
187,102,106,
186,101,107,
186,100,108,
185,100,109,
185,99,110,
185,99,111,
185,99,112,
185,99,113,
185,99,114,
185,99,115,
185,99,116,
186,100,117,
186,99,118,
186,99,119,
186,99,120,
186,98,121,
186,98,122,
186,98,123,
185,99,124,
185,100,125,
185,101,126,
184,102,127,
184,103,128,
184,104,129,
181,104,130,
182,105,131,
184,107,132,
186,109,133,
187,108,134,
188,107,135,
189,106,136,
190,105,137,
192,105,138,
193,104,139,
194,103,140,
195,102,141,
196,101,142,
198,101,143,
198,101,144,
199,102,145,
200,103,146,
201,104,147,
202,105,148,
203,106,149,
203,107,150,
203,109,151,
203,110,152,
203,112,153,
204,113,154,
204,115,155,
204,116,156,
204,118,157,
204,119,158,
205,121,159,
205,121,160,
206,121,161,
207,121,162,
208,121,163,
208,120,164,
209,120,165,
210,119,166,
211,119,167,
212,119,168,
209,121,169,
209,122,170,
210,123,171,
211,124,172,
212,125,173,
213,127,174,
209,127,175,
206,128,176,
207,129,177,
208,130,178,
209,131,179,
209,130,180,
209,130,181,
209,130,182,
209,130,183,
208,127,184,
207,124,185,
209,124,186,
211,124,187,
215,121,188,
215,124,189,
215,123,190,
215,123,191,
210,121,192,
213,124,193,
212,124,194,
212,124,195,
212,124,196,
212,124,197,
212,124,198,
212,124,199,
212,124,200,
